FIXING_DATE,FIXING
30/06/2021,15321
01/07/2021,14893
02/07/2021,14800
05/07/2021,14250
06/07/2021,14443
07/07/2021,14664
08/07/2021,14679
09/07/2021,14671
12/07/2021,14371
13/07/2021,14143
14/07/2021,13736
15/07/2021,14314
16/07/2021,14293
19/07/2021,14271
20/07/2021,14200
21/07/2021,14400
22/07/2021,14464
23/07/2021,14557
26/07/2021,14421
27/07/2021,14207
28/07/2021,14264
29/07/2021,14407
30/07/2021,14386
02/08/2021,14414
03/08/2021,14400
04/08/2021,14457
05/08/2021,14357
06/08/2021,14332
09/08/2021,14264
10/08/2021,14336
11/08/2021,14443
12/08/2021,14621
13/08/2021,14614
16/08/2021,14671
17/08/2021,14721
18/08/2021,14743
19/08/2021,14557
20/08/2021,14729
23/08/2021,14786
24/08/2021,14807
25/08/2021,14700
26/08/2021,14836
27/08/2021,14807
31/08/2021,14564
01/09/2021,14393
02/09/2021,14450
03/09/2021,14443
06/09/2021,14364
07/09/2021,14379
08/09/2021,14436
09/09/2021,14671
10/09/2021,14814
13/09/2021,15093
14/09/2021,14836
15/09/2021,14821
16/09/2021,15057
17/09/2021,15168
20/09/2021,14750
21/09/2021,14871
22/09/2021,14800
23/09/2021,15071
24/09/2021,15236
27/09/2021,15614
28/09/2021,15843
29/09/2021,15514
30/09/2021,15421
01/10/2021,15521
04/10/2021,15550
05/10/2021,15864
06/10/2021,15950
07/10/2021,15643
08/10/2021,15750
11/10/2021,15943
12/10/2021,15450
13/10/2021,15521
14/10/2021,15586
15/10/2021,15429
18/10/2021,15643
19/10/2021,15864
20/10/2021,15686
21/10/2021,14993
22/10/2021,14650
25/10/2021,14236
26/10/2021,14079
27/10/2021,14314
28/10/2021,14521
29/10/2021,14586
01/11/2021,13971
02/11/2021,13221
03/11/2021,13207
04/11/2021,13607
05/11/2021,13657
08/11/2021,14071
09/11/2021,13914
10/11/2021,13671
11/11/2021,13539
12/11/2021,13557
15/11/2021,13400
16/11/2021,13136
17/11/2021,13200
18/11/2021,13721
19/11/2021,14643
22/11/2021,14407
23/11/2021,14179
24/11/2021,14250
25/11/2021,14326
26/11/2021,14329
29/11/2021,14500
30/11/2021,14475
01/12/2021,14693
02/12/2021,14900
03/12/2021,15129
06/12/2021,15221
07/12/2021,15271
08/12/2021,14957
09/12/2021,14586
10/12/2021,14950
13/12/2021,14957
14/12/2021,14657
15/12/2021,14536
16/12/2021,14686
17/12/2021,14879
20/12/2021,15493
21/12/2021,15429
22/12/2021,15643
23/12/2021,15750
24/12/2021,15964
29/12/2021,16164
30/12/2021,16514
31/12/2021,16514
04/01/2022,16164
05/01/2022,16100
06/01/2022,16179
07/01/2022,16450
10/01/2022,15971
11/01/2022,16157
12/01/2022,16021
13/01/2022,16004
14/01/2022,16321
17/01/2022,16429
18/01/2022,16021
19/01/2022,15879
20/01/2022,16193
21/01/2022,16057
24/01/2022,16314
25/01/2022,16057
26/01/2022,16257
27/01/2022,16514
28/01/2022,16893
31/01/2022,16771
01/02/2022,16507
02/02/2022,16750
03/02/2022,16529
04/02/2022,16343
07/02/2022,16343
08/02/2022,16643
09/02/2022,17286
10/02/2022,17393
11/02/2022,17557
14/02/2022,17079
15/02/2022,16586
16/02/2022,16493
17/02/2022,17214
18/02/2022,17450
21/02/2022,17693
22/02/2022,17443
23/02/2022,17729
24/02/2022,16021
25/02/2022,16296
28/02/2022,16021
01/03/2022,17207
02/03/2022,16957
03/03/2022,17114
04/03/2022,17679
07/03/2022,17986
08/03/2022,18143
09/03/2022,18250
10/03/2022,17957
11/03/2022,17829
14/03/2022,17071
15/03/2022,16629
16/03/2022,17093
17/03/2022,17393
18/03/2022,17371
21/03/2022,17286
22/03/2022,16607
23/03/2022,17000
24/03/2022,16821
25/03/2022,16700
28/03/2022,16300
29/03/2022,17179
30/03/2022,17764
31/03/2022,17729
01/04/2022,17821
04/04/2022,17143
05/04/2022,17021
06/04/2022,17257
07/04/2022,17557
08/04/2022,17821
11/04/2022,16857
12/04/2022,17171
13/04/2022,17114
14/04/2022,17250
19/04/2022,16986
20/04/2022,16907
21/04/2022,17571
22/04/2022,18000
25/04/2022,17357
26/04/2022,17093
27/04/2022,17250
28/04/2022,17300
29/04/2022,17593
03/05/2022,17754
04/05/2022,18293
05/05/2022,18436
06/05/2022,18036
09/05/2022,18079
10/05/2022,17321
11/05/2022,17679
12/05/2022,17064
13/05/2022,16679
16/05/2022,16979
17/05/2022,17807
18/05/2022,17771
19/05/2022,17086
20/05/2022,17050
23/05/2022,16743
24/05/2022,16536
25/05/2022,16764
26/05/2022,16621
27/05/2022,16214
30/05/2022,16236
31/05/2022,17089
01/06/2022,17000
06/06/2022,17100
07/06/2022,16564
08/06/2022,16321
09/06/2022,16421
10/06/2022,16743
13/06/2022,16504
14/06/2022,16786
15/06/2022,16414
16/06/2022,16389
17/06/2022,16279
20/06/2022,14629
21/06/2022,14543
22/06/2022,13750
23/06/2022,14361
24/06/2022,13836
27/06/2022,13346
28/06/2022,13379
29/06/2022,13771
30/06/2022,13957
01/07/2022,13921
04/07/2022,13200
05/07/2022,12925
06/07/2022,12693
07/07/2022,13214
08/07/2022,12961
11/07/2022,12786
12/07/2022,12293
13/07/2022,12721
14/07/2022,12943
15/07/2022,13029
18/07/2022,12775
19/07/2022,12571
20/07/2022,12350
21/07/2022,12543
22/07/2022,12557
25/07/2022,11832
26/07/2022,11825
27/07/2022,11750
28/07/2022,11200
29/07/2022,11293
01/08/2022,11450
02/08/2022,10564
03/08/2022,9118
04/08/2022,8886
05/08/2022,9204
08/08/2022,9686
09/08/2022,10129
10/08/2022,10189
11/08/2022,9493
12/08/2022,9164
15/08/2022,8882
16/08/2022,9250
17/08/2022,9379
18/08/2022,8932
19/08/2022,8907
22/08/2022,9296
23/08/2022,8864
24/08/2022,8786
25/08/2022,7800
26/08/2022,8032
30/08/2022,7786
31/08/2022,8036
01/09/2022,8643
02/09/2022,8950
05/09/2022,7996
06/09/2022,7536
07/09/2022,7746
08/09/2022,8229
09/09/2022,7829
12/09/2022,8429
13/09/2022,8186
14/09/2022,7682
15/09/2022,7329
16/09/2022,7429
20/09/2022,8179
21/09/2022,7836
22/09/2022,7764
23/09/2022,8111
26/09/2022,7807
27/09/2022,7750
28/09/2022,7171
29/09/2022,7108
30/09/2022,7175
03/10/2022,7211
04/10/2022,7907
05/10/2022,7786
06/10/2022,7604
07/10/2022,7521
10/10/2022,7143
11/10/2022,7586
12/10/2022,7600
13/10/2022,7436
14/10/2022,7657
17/10/2022,7350
18/10/2022,7654
19/10/2022,7350
20/10/2022,7164
21/10/2022,7121
24/10/2022,6925
25/10/2022,6900
26/10/2022,6814
27/10/2022,6379
28/10/2022,6064
31/10/2022,5681
01/11/2022,5921
02/11/2022,6002
03/11/2022,5917
04/11/2022,6155
07/11/2022,6185
08/11/2022,6395
09/11/2022,6647
10/11/2022,6610
11/11/2022,7060
14/11/2022,7143
15/11/2022,6726
16/11/2022,6650
17/11/2022,6262
18/11/2022,6157
21/11/2022,6404
22/11/2022,6077
23/11/2022,6456
24/11/2022,6612
25/11/2022,6582
28/11/2022,6433
29/11/2022,6399
30/11/2022,6633
01/12/2022,6497
02/12/2022,6486
05/12/2022,6986
06/12/2022,7472
07/12/2022,7701
08/12/2022,8366
09/12/2022,8655
12/12/2022,8183
13/12/2022,8782
14/12/2022,9494
15/12/2022,9364
16/12/2022,8527
19/12/2022,8343
20/12/2022,9805
21/12/2022,9790
22/12/2022,9583
23/12/2022,9025
28/12/2022,9351
29/12/2022,9133
30/12/2022,8956
03/01/2023,8562
04/01/2023,9276
05/01/2023,9581
06/01/2023,10410
09/01/2023,10126
10/01/2023,9469
11/01/2023,9439
12/01/2023,9508
13/01/2023,9755
16/01/2023,10637
17/01/2023,9836
18/01/2023,9033
19/01/2023,8689
20/01/2023,8834
23/01/2023,8561
24/01/2023,8516
25/01/2023,8259
26/01/2023,7835
27/01/2023,7816
30/01/2023,7593
31/01/2023,7492
01/02/2023,7312
02/02/2023,7199
03/02/2023,7142
06/02/2023,6938
07/02/2023,7350
08/02/2023,7624
09/02/2023,7042
10/02/2023,7106
13/02/2023,7090
14/02/2023,6631
15/02/2023,6450
16/02/2023,6362
17/02/2023,6176
20/02/2023,5935
21/02/2023,6345
22/02/2023,6531
23/02/2023,7100
24/02/2023,7173
27/02/2023,7158
28/02/2023,7756
01/03/2023,7742
02/03/2023,8007
03/03/2023,8591
06/03/2023,8609
07/03/2023,8741
08/03/2023,8909
09/03/2023,9116
10/03/2023,9286
13/03/2023,9360
14/03/2023,9684
15/03/2023,9316
16/03/2023,9231
17/03/2023,9240
20/03/2023,9073
21/03/2023,8943
22/03/2023,8937
23/03/2023,9145
24/03/2023,9073
27/03/2023,8981
28/03/2023,8931
29/03/2023,8938
30/03/2023,8912
